t[s], v[m/s]
0,0
0.1,0.98
0.2,1.911
0.3,2.79545
0.4,3.635678
0.5,4.433894
0.6,5.192199
0.7,5.912589
0.8,6.59696
0.9,7.247112
1,7.864756
1.1,8.451518
1.2,9.008942
1.3,9.538495
1.4,10.04157
1.5,10.519492
1.6,10.973517
1.7,11.404841
1.8,11.814599
1.9,12.203869
2,12.573676
2.1,12.924992
2.2,13.258743
2.3,13.575805
2.4,13.877015
2.5,14.163164
2.6,14.435006
2.7,14.693256
2.8,14.938593
2.9,15.171663
3,15.39308
3.1,15.603426
3.2,15.803255
3.3,15.993092
3.4,16.173438
3.5,16.344766
3.6,16.507527
3.7,16.662151
3.8,16.809043
3.9,16.948591
4,17.081162
4.1,17.207104
4.2,17.326748
4.3,17.440411
4.4,17.54839
4.5,17.650971
4.6,17.748422
4.7,17.841001
4.8,17.928951
4.9,18.012504
5,18.091878
5.1,18.167285
5.2,18.23892
5.3,18.306974
5.4,18.371626
5.5,18.433044
5.6,18.491392
5.7,18.546822
5.8,18.599481
5.9,18.649507
6,18.697032
6.1,18.74218
6.2,18.785071
6.3,18.825818
6.4,18.864527
6.5,18.901301
6.6,18.936236
6.7,18.969424
6.8,19.000953
6.9,19.030905
7,19.05936
7.1,19.086392
7.2,19.112072
7.3,19.136468
7.4,19.159645
7.5,19.181663
7.6,19.20258
7.7,19.222451
7.8,19.241328
7.9,19.259262
8,19.276299
8.1,19.292484
8.2,19.30786
8.3,19.322467
8.4,19.336343
8.5,19.349526
8.6,19.36205
8.7,19.373947
8.8,19.38525
8.9,19.395987
9,19.406188
9.1,19.415879
9.2,19.425085
9.3,19.43383
9.4,19.442139
9.5,19.450032
9.6,19.45753
9.7,19.464654
9.8,19.471421
9.9,19.47785
10,19.483958
